id,Tnid,Is source,Langcode,Title,Excerpt,Body,Tag,Image,Date,Sticky,Promote
1,1,1,en,Example Article: A Step-by-Step Guide to [Topic],Learn how to easily accomplish [Topic] with this straightforward example.,"Chicharrones cloud bread kogi, master cleanse mlkshk af food truck man braid mukbang whatever readymade. Coloring book direct trade woke affogato fam tattooed snackwave fingerstache, 90's small batch mukbang XOXO pitchfork try-hard cold-pressed. Craft beer blue bottle sriracha 8-bit artisan tumeric big mood kogi banh mi organic. Leggings art party shabby chic literally, lo-fi hashtag put a bird on it tousled kogi fingerstache narwhal 90's chillwave.",Drupal,1.jpg,"January 1, 2023 19:15:30",0,0
2,1,0,fi,Esimerkkiartikkeli: Vaiheittainen opas [aiheeseen],Opi saavuttamaan [Aihe] helposti tämän suoraviivaisen esimerkin avulla.,"Cardigan mukbang you probably haven't heard of them, chicharrones edison bulb retro selfies lyft disrupt wolf meggings health goth hashtag. Austin flannel hammock af affogato readymade echo park pork belly. Godard lomo wayfarers distillery. Etsy VHS truffaut fit taiyaki forage, taxidermy polaroid seitan raclette. Tumblr art party polaroid fit bespoke. Brooklyn vegan banjo kale chips.",Drupal,1.jpg,"January 1, 2023 19:15:30",0,0
3,1,0,sv,Exempelartikel: En steg-för-steg-guide till [Ämne],Lär dig hur du enkelt uppnår [Ämne] med detta enkla exempel.,"Gastropub trust fund organic pickled keytar venmo man bun thundercats wayfarers pour-over jianbing. Adaptogen tonx listicle gentrify, street art blue bottle single-origin coffee literally bitters hexagon fit offal twee keffiyeh kogi. Meggings cliche iceland forage. Letterpress yuccie keffiyeh hella photo booth yes plz, venmo chambray next level. Same yes plz deep v, food truck bespoke pitchfork praxis. Hella cornhole hoodie air plant yr fingerstache cred tumblr neutra literally portland ennui JOMO. Gatekeep scenester distillery gluten-free iceland vaporware street art freegan ascot asymmetrical.",Drupal,1.jpg,"January 1, 2023 19:15:30",0,0
4,4,1,en,Example Article: How to Build a Simple [Project],A practical example to guide you through creating your first [Project].,"Cliche godard bruh four loko twee slow-carb. Praxis sriracha meggings air plant, yr 3 wolf moon bruh hexagon iPhone tilde. Trust fund vinyl gluten-free, williamsburg fingerstache hella retro gochujang XOXO waistcoat. Sriracha live-edge typewriter, tumblr keffiyeh actually distillery single-origin coffee meggings humblebrag tattooed taiyaki microdosing. Kinfolk pinterest 3 wolf moon, listicle retro viral vibecession umami chillwave coloring book venmo fashion axe crucifix bodega boys scenester.",Drupal,2.jpg,"January 2, 2023 19:15:30",0,0
5,4,0,fi,Esimerkkiartikkeli: Kuinka rakentaa yksinkertainen [projekti],Käytännön esimerkki opastaa sinua luomaan ensimmäisen [projektisi].,"I'm baby whatever raw denim ugh hot chicken heirloom synth +1 everyday carry forage VHS trust fund fam lyft tbh. Portland keffiyeh mustache kale chips. Hammock meh viral man braid, small batch listicle intelligentsia. Plaid migas yes plz craft beer hell of thundercats.",Drupal,2.jpg,"January 2, 2023 19:15:30",0,0
6,4,0,sv,Exempelartikel: Hur man bygger ett enkelt [projekt],Ett praktiskt exempel som guidar dig genom att skapa ditt första [projekt].,"Tousled snackwave vegan semiotics aesthetic. Stumptown authentic cray fashion axe freegan yr. Fam artisan glossier ascot beard paleo pok pok four loko. Waistcoat umami crucifix, locavore health goth adaptogen semiotics meh. Fanny pack four loko yes plz ramps direct trade, chicharrones yr selvage bitters adaptogen mumblecore vexillologist drinking vinegar.",Drupal,2.jpg,"January 2, 2023 19:15:30",0,0
7,7,1,en,An Example Article: Mastering [Skill] in 5 Easy Steps,Step-by-step instructions to help you gain expertise in [Skill].,"Chicharrones cloud bread kogi, master cleanse mlkshk af food truck man braid mukbang whatever readymade. Coloring book direct trade woke affogato fam tattooed snackwave fingerstache, 90's small batch mukbang XOXO pitchfork try-hard cold-pressed. Craft beer blue bottle sriracha 8-bit artisan tumeric big mood kogi banh mi organic. Leggings art party shabby chic literally, lo-fi hashtag put a bird on it tousled kogi fingerstache narwhal 90's chillwave.",Drupal,3.jpg,"January 3, 2023 19:15:30",1,0
8,7,0,fi,Esimerkkiartikkeli: [Taidon] hallitseminen viidessä helpossa vaiheessa,"Vaiheittaiset ohjeet, jotka auttavat sinua hankkimaan [Skill]-asiantuntemuksen.","Cardigan mukbang you probably haven't heard of them, chicharrones edison bulb retro selfies lyft disrupt wolf meggings health goth hashtag. Austin flannel hammock af affogato readymade echo park pork belly. Godard lomo wayfarers distillery. Etsy VHS truffaut fit taiyaki forage, taxidermy polaroid seitan raclette. Tumblr art party polaroid fit bespoke. Brooklyn vegan banjo kale chips.",Drupal,3.jpg,"January 3, 2023 19:15:30",1,0
9,7,0,sv,En exempelartikel: Bemästra [Skills] i 5 enkla steg,Steg-för-steg-instruktioner som hjälper dig att få expertis i [Skill].,"Gastropub trust fund organic pickled keytar venmo man bun thundercats wayfarers pour-over jianbing. Adaptogen tonx listicle gentrify, street art blue bottle single-origin coffee literally bitters hexagon fit offal twee keffiyeh kogi. Meggings cliche iceland forage. Letterpress yuccie keffiyeh hella photo booth yes plz, venmo chambray next level. Same yes plz deep v, food truck bespoke pitchfork praxis. Hella cornhole hoodie air plant yr fingerstache cred tumblr neutra literally portland ennui JOMO. Gatekeep scenester distillery gluten-free iceland vaporware street art freegan ascot asymmetrical.",Drupal,3.jpg,"January 3, 2023 19:15:30",1,0
10,10,1,en,Example Walkthrough: Implementing [Feature] in [Platform],A detailed walkthrough for adding [Feature] to your [Platform] project.,"Cliche godard bruh four loko twee slow-carb. Praxis sriracha meggings air plant, yr 3 wolf moon bruh hexagon iPhone tilde. Trust fund vinyl gluten-free, williamsburg fingerstache hella retro gochujang XOXO waistcoat. Sriracha live-edge typewriter, tumblr keffiyeh actually distillery single-origin coffee meggings humblebrag tattooed taiyaki microdosing. Kinfolk pinterest 3 wolf moon, listicle retro viral vibecession umami chillwave coloring book venmo fashion axe crucifix bodega boys scenester.",Drupal,4.jpg,"January 4, 2023 19:15:30",1,0
